Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D76,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,75.9775,-110.75,270.0,bottom
D77,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,95.0275,-110.75,270.0,bottom
D78,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,114.0775,-110.75,270.0,bottom
D79,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,133.1275,-110.75,270.0,bottom
D8,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,189.929605,-30.091644,270.0,bottom
D80,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,152.1775,-110.75,270.0,bottom
D81,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,171.2275,-110.75,270.0,bottom
D82,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,190.2775,-110.75,270.0,bottom
D83,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,209.3275,-110.75,270.0,bottom
D84,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,228.3775,-110.75,270.0,bottom
D85,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,247.4275,-110.75,270.0,bottom
D86,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,273.62125,-110.75,270.0,bottom
D87,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,304.5775,-115.5125,270.0,bottom
D88,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,347.39,-111.11,270.0,bottom
D89,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,366.44,-111.11,270.0,bottom
D9,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,208.979605,-30.091644,270.0,bottom
D90,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,385.49,-111.11,270.0,bottom
D91,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,405.465,-120.105,270.0,bottom
D92,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,48.9595,-130.054,270.0,bottom
D93,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,72.81,-130.14,270.0,bottom
D94,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,82.89,-130.16,270.0,bottom
D95,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,154.3275,-130.16,270.0,bottom
D96,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,223.38375,-130.16,270.0,bottom
D97,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,242.43375,-130.16,270.0,bottom
D98,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,261.48375,-130.16,270.0,bottom
D99,D,C81598_SOD-123F_L2_7-W1_6-LS3_8-RD,357.005,-130.2,270.0,bottom
F1,1.5A,C70076_F1206,342.25,-36.18,90.0,bottom
R1,10K,R_0402_1005Metric,302.520493,-47.411539,270.0,bottom
R10,330ohm,R_0402_1005Metric,33.49,-43.43,270.0,bottom
R2,27ohm,R_0402_1005Metric,326.492,-46.894,0.0,bottom
R3,27ohm,R_0402_1005Metric,326.502,-45.854,0.0,bottom
R4,10K,R_0402_1005Metric,322.16,-54.84,90.0,bottom
R5,1K,R_0402_1005Metric,323.18,-54.86,90.0,bottom
R6,1K,R_0402_1005Metric,310.995,-52.99,180.0,bottom
R7,5.1K,R_0402_1005Metric,341.26,-32.25,270.0,bottom
R8,1K,R_0402_1005Metric,308.26,-46.7,180.0,bottom
R9,5.1K,R_0402_1005Metric,338.51,-32.17,90.0,bottom
RGB1,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,38.104106,-43.168877,0.0,bottom
RGB10,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,247.654106,-43.168877,0.0,bottom
RGB100,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,290.516606,-147.943877,0.0,bottom
RGB101,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,309.566606,-147.943877,0.0,bottom
RGB102,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,328.616606,-147.943877,0.0,bottom
RGB11,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,266.704106,-43.168877,0.0,bottom
RGB12,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,285.754106,-43.168877,0.0,bottom
RGB13,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,304.804106,-43.168877,0.0,bottom
